business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
KFC East Legon,Restaurant,"East Legon, Accra, Ghana",+233 30 277 8800,,https://www.kfc.com.gh,,https://www.kfc.com.gh,2026-04-04
Papaye Fast Food,Restaurant,"East Legon, Accra, Ghana",+233 30 277 7770,,http://www.papayeonline.com,,https://www.yellowpages.com.gh,2026-04-04
Frankies Restaurant,Restaurant,"Osu, Near East Legon, Accra",+233 21 244 661,,https://www.frankies.com.gh,,https://www.frankies.com.gh,2026-04-04
Buka Restaurant,Restaurant,"Accra, Near East Legon",+233 21 220 233,,http://buka-restaurant.com,,http://buka-restaurant.com,2026-04-04
Santoku Restaurant,Restaurant,"East Legon, Accra, Ghana",+233 30 255 7777,,https://santoku.com.gh,,https://santoku.com.gh,2026-04-04
Coco Lounge,Restaurant & Bar,"Oxford Street, Osu, Near East Legon, Accra",+233 30 277 0370,,https://cocoulounge.com,,https://cocoulounge.com,2026-04-04
Zoe's Hair Gallery,Salon,"East Legon, Accra, Ghana",+233 24 333 4455,,http://www.zoeshairgallery.com,,http://www.zoeshairgallery.com,2026-04-04
Dewcare Hair & Beauty Salon,Salon,"East Legon, Accra, Ghana",+233 20 888 2233,,,,https://www.yellowpages.com.gh,2026-04-04
Tropical Cuts Barbershop,Barbershop,"East Legon, Accra, Ghana",+233 50 122 3344,,,,https://ghanayello.com,2026-04-04
Boss Cuts Barbershop,Barbershop,"East Legon, Accra, Ghana",+233 24 455 6677,,,,https://www.yellowpages.com.gh,2026-04-04
Silhouettes Salon,Salon,"East Legon, Accra, Ghana",+233 30 277 5500,,https://silhouettes.com.gh,,https://silhouettes.com.gh,2026-04-04
Body HIIT Fitness Centre,Gym & Fitness,"East Legon, Accra, Ghana",+233 20 555 7788,,https://www.bodyhiitfitness.com,,https://www.bodyhiitfitness.com,2026-04-04
Gold's Gym East Legon,Gym & Fitness,"East Legon, Accra, Ghana",+233 30 277 8899,,https://www.goldsgym.com.gh,,https://www.goldsgym.com.gh,2026-04-04
Jedi Gym,Gym & Fitness,"East Legon, Accra, Ghana",+233 24 000 1122,,https://www.jedigym.com,,https://www.jedigym.com,2026-04-04
Fitness On Fire,Gym & Fitness,"East Legon, Accra, Ghana",+233 50 100 3344,,,,https://www.yellowpages.com.gh,2026-04-04
Palm View Real Estate,Real Estate,"East Legon, Accra, Ghana",+233 30 277 1234,,https://www.palmviewrealty.com,,https://www.palmviewrealty.com,2026-04-04
Meqasa Real Estate,Real Estate,"Accra, Ghana",+233 30 255 7766,,https://meqasa.com,,https://meqasa.com,2026-04-04
Ruby's Real Estate,Real Estate,"East Legon, Accra, Ghana",+233 20 888 9900,,https://rubysrealestate.com,,https://rubysrealestate.com,2026-04-04
Devtraco Real Estate,Real Estate,"East Legon, Accra, Ghana",+233 30 277 8801,,https://www.devtracoplus.com,,https://www.devtracoplus.com,2026-04-04
Regimanuel Gray Ltd,Real Estate,"East Legon, Accra, Ghana",+233 30 277 8802,,https://www.regimanuelgray.com,,https://www.regimanuelgray.com,2026-04-04
East Legon Dental Clinic,Dentist,"East Legon, Accra, Ghana",+233 30 277 4455,,https://www.eastlegondental.com,,https://www.eastlegondental.com,2026-04-04
Korle Bu Dental Clinic,Dentist,"Korle Bu, Near East Legon, Accra",+233 21 665 401,,https://www.kbth.gov.gh,,https://www.kbth.gov.gh,2026-04-04
Family Dental Clinic,Dentist,"East Legon, Accra, Ghana",+233 30 255 4466,,,,https://www.yellowpages.com.gh,2026-04-04
37 Military Hospital Dental,Dentist,"37 Military Hospital Road, Accra",+233 21 776 111,,https://www.37militaryhospital.com,,https://www.37militaryhospital.com,2026-04-04
Sweet Sensation Confectionery,Restaurant & Bakery,"East Legon, Accra, Ghana",+233 30 277 3388,,https://sweetsensationgh.com,,https://sweetsensationgh.com,2026-04-04
Marilyn's Hair & Beauty,Salon,"East Legon, Accra, Ghana",+233 24 333 5566,,,,https://ghanayello.com,2026-04-04
Ocean Basket,Restaurant,"Accra Mall, Near East Legon, Accra",+233 30 277 5588,,https://www.oceanbasket.com.gh,,https://www.oceanbasket.com.gh,2026-04-04
Pizza Hut East Legon,Restaurant,"East Legon, Accra, Ghana",+233 30 277 9900,,https://www.pizzahut.com.gh,,https://www.pizzahut.com.gh,2026-04-04
Domino's Pizza East Legon,Restaurant,"East Legon, Accra, Ghana",+233 30 277 9911,,https://www.dominos.com.gh,,https://www.dominos.com.gh,2026-04-04
Eddie's Pizza,Restaurant,"East Legon, Accra, Ghana",+233 30 277 2200,,https://www.eddiespizza.com,,https://www.eddiespizza.com,2026-04-04
Movenpick Hotel Accra,Hotel & Restaurant,"Independence Ave, Near East Legon, Accra",+233 30 277 1717,,https://www.movenpick.com/accra,,https://www.movenpick.com/accra,2026-04-04
Kempinski Hotel Gold Coast City,Hotel,"Ridge, Near East Legon, Accra",+233 30 277 1818,,https://www.kempinski.com/accra,,https://www.kempinski.com/accra,2026-04-04
Accra City Hotel,Hotel,"Near East Legon, Accra",+233 30 277 1929,,https://www.accracityhotel.com,,https://www.accracityhotel.com,2026-04-04
Alisa Hotel,Hotel,"North Ridge, Near East Legon, Accra",+233 21 221 110,,https://www.alisahotel.com,,https://www.alisahotel.com,2026-04-04
Baobab House,Hotel & Restaurant,"East Legon, Accra, Ghana",+233 30 277 5522,,https://www.baobabhouse.com,,https://www.baobabhouse.com,2026-04-04
The Republic Bar,Restaurant & Bar,"Osu, Near East Legon, Accra",+233 30 277 3322,,https://republicbar.com,,https://republicbar.com,2026-04-04
Wang Jia Chinese Restaurant,Restaurant,"East Legon, Accra, Ghana",+233 30 255 7799,,https://www.wangjiagh.com,,https://www.wangjiagh.com,2026-04-04
Hua Han Chinese Restaurant,Restaurant,"East Legon, Accra, Ghana",+233 30 255 7788,,https://www.huahan.com.gh,,https://www.huahan.com.gh,2026-04-04
Le Tandem,Restaurant,"Accra, Near East Legon",+233 30 277 5503,,https://letandem.com,,https://letandem.com,2026-04-04
Safari Restaurant,Restaurant,"East Legon, Accra, Ghana",+233 30 277 5544,,,,https://www.yellowpages.com.gh,2026-04-04
Café Kwae,Restaurant & Cafe,"Osu, Near East Legon, Accra",+233 30 277 5555,,https://cafekwae.com,,https://cafekwae.com,2026-04-04
Bread & Butter Cafe,Restaurant & Cafe,"East Legon, Accra, Ghana",+233 24 000 5566,,https://breadandbuttergh.com,,https://breadandbuttergh.com,2026-04-04
Jandel Limited,Supermarket & Retail,"East Legon, Accra, Ghana",+233 30 277 7788,,https://www.jandelgh.com,,https://www.jandelgh.com,2026-04-04
Koala Shopping Centre,Supermarket & Retail,"Osu, Near East Legon, Accra",+233 30 277 6688,,https://www.koala.com.gh,,https://www.koala.com.gh,2026-04-04
MaxMart,Supermarket & Retail,"Airport Residential, Near East Legon, Accra",+233 30 277 8833,,https://www.maxmartghana.com,,https://www.maxmartghana.com,2026-04-04
Melcom,Supermarket & Retail,"East Legon, Accra, Ghana",+233 30 277 8844,,https://www.melcom.com,,https://www.melcom.com,2026-04-04
Palace Mall,Shopping Mall,"Spintex Road, Near East Legon, Accra",+233 30 277 8855,,https://www.palacemallgh.com,,https://www.palacemallgh.com,2026-04-04
Accra Mall,Shopping Mall,"Tetteh Quarshie, Near East Legon, Accra",+233 30 277 8866,,https://www.accuramall.com.gh,,https://www.accuramall.com.gh,2026-04-04
Marina Mall,Shopping Mall,"Airport City, Near East Legon, Accra",+233 30 277 8877,,https://www.marinamall.com.gh,,https://www.marinamall.com.gh,2026-04-04
Legon Fitness Club,Gym & Fitness,"East Legon, Accra, Ghana",+233 30 255 7744,,,,https://www.yellowpages.com.gh,2026-04-04
Philips & Associates,Law Firm,"East Legon, Accra, Ghana",+233 30 277 6633,,https://philipsandassociates.com.gh,,https://philipsandassociates.com.gh,2026-04-04
N.D. Mahama & Co,Law Firm,"East Legon, Accra, Ghana",+233 30 277 6644,,,,https://ghanayello.com,2026-04-04
Akufo-Addo, Prempeh & Co,Law Firm,"Accra, Ghana",+233 21 221 340,,https://akufoaddoprempeh.com,,https://akufoaddoprempeh.com,2026-04-04
