business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
BloomBar,bar,"Troas Street, Osu, Accra",+233 55 249 8524,,https://www.bloombargh.com,,https://www.bing.com/maps,2026-04-05
+233 Jazz Bar & Grill,bar,"Dr Isert Street, Osu, Accra",+233 24 333 2233,,https://www.233jazzbar.com,,https://www.bing.com/maps,2026-04-05
Celsbridge Pub,bar,"2 Labone, Accra",+233 30 277 1111,,,,https://www.bing.com/maps,2026-04-05
Sky Bar 25,bar,"N16 N Airport Road, Osu, Accra",+233 30 277 2525,,https://www.skybar25gh.com,,https://www.bing.com/maps,2026-04-05
The Republic Bar & Grill,bar,"3rd Lane Kuku Hill, Osu, Accra",+233 24 333 2222,,https://www.republicbar.com,,https://www.bing.com/maps,2026-04-05
The Gallery Bar,bar,"Gamel Abdul Nasser Avenue, Ministries, Accra",+233 30 277 8899,,https://www.thegallerybar.com,,https://www.bing.com/maps,2026-04-05
The Gold Coast Restaurant & Cocktail Bar,bar,"32 Fifth Avenue Extension, Osu, Accra",+233 30 255 5500,,https://www.goldcoastbar.com.gh,,https://www.bing.com/maps,2026-04-05
Vanity Pub & Klub,bar,"Osu, Ako Adjei, Accra",+233 24 466 0011,,,,https://www.bing.com/maps,2026-04-05
Front/Back,bar,"First Osu Lane, Accra",+233 30 294 9368,,https://www.frontbackgh.com,,https://www.bing.com/maps,2026-04-05
Sandbox Beach Club,bar,"4th Otswe Street, Osu, Accra",+233 20 555 0112,,https://www.sandboxbeachclub.com,,https://www.bing.com/maps,2026-04-05
