business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
Presbyterian Senior High School Osu,school,"Salem Avenue, Osu, Accra",+233 30 277 7767,,,,https://www.bing.com/maps,2026-04-05
THE OWL'S NEST INTERNATIONAL SCHOOL,school,"Shippi Close, Accra",+233 30 277 7768,,https://www.owlsnest.edu.gh,,https://www.bing.com/maps,2026-04-05
New Horizon Special School,school,"#20 4th Circular Road, Accra",+233 30 277 2878,,https://www.newhorizonspecialschool.org,,https://www.bing.com/maps,2026-04-05
Tiny Flowers Preparatory School,school,"Troas Street, Osu, Accra",+233 30 277 7769,,,,https://www.bing.com/maps,2026-04-05
St. Thomas Aquinas Senior High School,school,"Cantonments Road, Osu, Accra",+233 30 277 6801,,https://www.stthomasaquinas.edu.gh,,https://www.bing.com/maps,2026-04-05
Government Secretarial School,school,"Cantonment, Accra",+233 24 429 1257,,,,https://www.bing.com/maps,2026-04-05
Merton International School,school,"Ridge Street, Accra",+233 30 277 7770,,https://www.mertoninternational.edu.gh,,https://www.bing.com/maps,2026-04-05
Ridge Church School,school,"Accra",+233 30 277 7771,,https://www.ridgechurchschool.edu.gh,,https://www.bing.com/maps,2026-04-05
Accra High School,school,"Accra",+233 30 222 4737,,https://www.accrahighschool.edu.gh,,https://www.bing.com/maps,2026-04-05
German International School Accra,school,"Ring Road Central, Accra",+233 30 222 3522,,https://www.gisaccra.org,,https://www.bing.com/maps,2026-04-05
