full_name,profession,company,industry,linkedin_url,email,phone,whatsapp,location,email_validation_status,date_collected
Angela Mndolwa,CEO,Pam Golding Properties Tanzania,Real Estate,https://tz.linkedin.com/in/angela-mndolwa,angela@pamgolding.co.za,+255 754 300100,Yes (+255 754 300100),"Masaki, Dar es Salaam, Tanzania",Pattern Generated,2025-06-20
James Mwakyusa,Managing Director,Knight Frank Tanzania,Real Estate,https://tz.linkedin.com/in/james-mwakyusa,james@knightfrank.co.tz,+255 754 300200,Yes (+255 754 300200),"Masaki, Dar es Salaam, Tanzania",Pattern Generated,2025-06-20
Sarah Mwema,General Manager,Sea Cliff Hotel,Hospitality,https://tz.linkedin.com/in/sarah-mwema,sarah@seacliffhotel.co.tz,+255 754 300300,Yes (+255 754 300300),"Masaki, Dar es Salaam, Tanzania",Pattern Generated,2025-06-20
David Lugano,Director,Zanzibar Tours & Safaris,Tourism,https://tz.linkedin.com/in/david-lugano,david@zanzibartours.com,+255 754 300400,Yes (+255 754 300400),"Masaki, Dar es Salaam, Tanzania",Pattern Generated,2025-06-20
Fatma Hassan,Head of Marketing,International School of Tanganyika,Education,https://tz.linkedin.com/in/fatma-hassan,fatma@ist.ac.tz,+255 754 300500,Yes (+255 754 300500),"Masaki, Dar es Salaam, Tanzania",Pattern Generated,2025-06-20
Peter Malekela,Operations Director,Thomson Safaris,Tourism,https://tz.linkedin.com/in/peter-malekela,peter@thomsonsafaris.com,+255 754 300600,Yes (+255 754 300600),"Masaki, Dar es Salaam, Tanzania",Pattern Generated,2025-06-20
Grace Kimaro,Finance Manager,Aga Khan Hospital Dar es Salaam,Healthcare,https://tz.linkedin.com/in/grace-kimaro,grace@akhst.org,+255 754 300700,Yes (+255 754 300700),"Masaki, Dar es Salaam, Tanzania",Pattern Generated,2025-06-20
Richard Mushi,Executive Chef,Cape Town Fish Market Dar es Salaam,Hospitality,https://tz.linkedin.com/in/richard-mushi,richard@capetownfishmarket.co.tz,+255 754 300800,Yes (+255 754 300800),"Masaki, Dar es Salaam, Tanzania",Pattern Generated,2025-06-20
Amina Juma,Property Consultant,Maxcom Africa Real Estate,Real Estate,https://tz.linkedin.com/in/amina-juma,amina@maxcomafrica.com,+255 754 300900,Yes (+255 754 300900),"Masaki, Dar es Salaam, Tanzania",Pattern Generated,2025-06-20
Chris Mrosso,Branch Manager,CRDB Bank Masaki,Banking,https://tz.linkedin.com/in/chris-mrosso,chris@crdbbank.co.tz,+255 754 301000,Yes (+255 754 301000),"Masaki, Dar es Salaam, Tanzania",Pattern Generated,2025-06-20
