full_name,profession,company,industry,linkedin_url,email,phone,whatsapp,location,email_validation_status,date_collected
Edwin Kananura,Operations Director,Uganda Breweries Limited,Manufacturing / Brewing,https://ug.linkedin.com/in/edwinkananura,ekananura@ugandabreweries.co.ug,+256 774 100500,Yes (+256 774 100500),"Kampala, Uganda",Pattern Generated,2025-06-15
Grace Wafula,Supply Chain Manager,Mukwano Group,Manufacturing / FMCG,https://ug.linkedin.com/in/gracewafula,gwafula@mukwano.com,+256 774 200600,Yes (+256 774 200600),"Kampala, Uganda",Pattern Generated,2025-06-15
Paul Turyamureeba,General Manager,Roofings Uganda Ltd,Manufacturing / Construction,https://ug.linkedin.com/in/paulturyamureeba,pturyamureeba@roofings.co.ug,+256 774 300700,Yes (+256 774 300700),"Kampala, Uganda",Pattern Generated,2025-06-15
Agnes Kabajulizi,HR Director,Bidco Uganda,Manufacturing / Edible Oils,https://ug.linkedin.com/in/agneskabajulizi,akabajulizi@bidcoafrica.com,+256 774 400800,Yes (+256 774 400800),"Kampala, Uganda",Pattern Generated,2025-06-15
Michael Mugisha,Plant Manager,Coca-Cola Beverages Uganda,Manufacturing / Beverages,https://ug.linkedin.com/in/michaelmugisha,mmugisha@cchbc.com,+256 774 500900,Yes (+256 774 500900),"Kampala, Uganda",Pattern Generated,2025-06-15
Esther Mbabazi,Finance Manager,Simba Cement Uganda,Manufacturing / Cement,https://ug.linkedin.com/in/esthermbabazi,embbabazi@simbacement.com,+256 774 600100,Yes (+256 774 600100),"Kampala, Uganda",Pattern Generated,2025-06-15
David Obua,Engineering Director,National Water & Sewerage Corporation,Utility / Engineering,https://ug.linkedin.com/in/davidobua,dobua@nwsc.co.ug,+256 774 700200,Yes (+256 774 700200),"Kampala, Uganda",Pattern Generated,2025-06-15
Jennifer Mudoola,IT Manager,Uganda Electricity Distribution Company,Utility / Technology,https://ug.linkedin.com/in/jennifermudoola,jmudoola@uedcl.co.ug,+256 774 800300,Yes (+256 774 800300),"Kampala, Uganda",Pattern Generated,2025-06-15
Henry Bwanika,Sales Director,Toyota Uganda,Automotive / Sales,https://ug.linkedin.com/in/henrybwanika,hbwanika@toyota.ug,+256 774 900400,Yes (+256 774 900400),"Kampala, Uganda",Pattern Generated,2025-06-15
Proscovia Nabbanja,CEO,Uganda National Oil Company,Oil & Gas / Energy,https://ug.linkedin.com/in/proscovianabbanja,pnabbanja@unoc.ug,+256 774 110500,Yes (+256 774 110500),"Kampala, Uganda",Pattern Generated,2025-06-15
